5/8/2019 6:03:28 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
TaskNumber	StartTime	UIComponentInteractionTime	UIComponentExitTime	HornTime	
1	6.65105	7.097844	7.299101	7.879651	
2	11.94558	12.58238	0	13.3412	
3	16.82604	17.52916	0	18.15584	
2	21.74076	22.47874	0	23.12984	
2	27.27055	27.85119	0	28.55518	
4	32.16331	32.69895	0	33.52562	
1	36.89851	37.24451	37.25576	38.11694	
4	42.05967	42.96419	0	43.56644	
3	46.91758	47.24154	47.25278	47.81063	
4	51.88876	52.5816	0	53.33001	
2	57.1839	57.60757	57.70832	58.24483	
1	61.86377	62.41046	0	62.95795	
4	66.76792	67.42566	0	68.01846	
5	71.83857	72.27418	72.2853	72.92213	
3	76.76406	77.28851	77.41202	77.86919	
1	81.71301	82.43884	0	83.08673	
2	86.72775	87.43082	0	87.99968	
5	92.07755	92.94933	0	93.58624	
4	96.83627	97.32755	97.33909	97.94204	
5	101.785	102.1529	102.3093	102.8238	
5	106.8336	107.1906	107.3362	107.7376	
5	111.715	112.0167	112.1165	112.4964	
1	116.6858	117.0842	117.1962	117.6126	
3	121.8345	122.5155	0	123.0399	
2	126.9062	127.5207	0	128.1791	
2	132.4796	133.1043	0	133.6738	
5	136.8027	137.416	0	137.9859	
4	141.8849	142.2634	142.4203	142.8786	
1	146.8438	147.1679	147.2909	147.7819	
2	154.3726	153.2996	0	154.5398	
