5/8/2019 5:50:24 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
TaskNumber	StartTime	UIComponentInteractionTime	UIComponentExitTime	HornTime	
4	7.207117	7.575325	7.697992	8.484097	
4	11.90306	12.21714	12.30827	12.74445	
3	17.00583	17.28432	17.41863	17.88512	
3	21.64924	22.83387	0	23.46704	
2	26.96081	27.57525	0	28.46144	
2	31.80412	32.3282	0	32.83098	
2	36.84944	37.56223	0	38.4168	
3	41.94895	42.60811	0	43.36044	
2	47.50734	48.57285	0	49.29056	
4	52.5631	53.57286	0	54.48044	
1	56.96029	57.39586	57.5751	58.37055	
4	62.00415	62.75301	0	63.46017	
3	67.76316	68.30317	68.4593	69.1886	
1	72.35989	73.17561	0	73.53661	
3	77.15882	77.97324	0	78.46957	
2	82.8399	83.59302	0	84.61227	
1	87.00234	87.64924	0	88.32511	
5	91.91332	95.59589	0	96.69141	
