5/8/2019 5:27:41 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
TaskNumber	StartTime	UIComponentInteractionTime	UIComponentExitTime	HornTime	
3	6.141178	6.698445	0	7.4153	
3	10.05595	10.51454	0	11.10851	
3	0	12.33309	12.37736	12.84899	
2	17.92609	18.51225	18.52338	18.88272	
3	20.81655	21.24018	0	21.64203	
4	23.47923	23.91512	0	24.33134	
1	26.87662	27.07803	27.14548	27.51405	
1	29.56322	30.00214	0	30.41617	
2	38.91817	39.25319	39.3096	39.65469	
1	44.85657	45.12462	45.1925	45.52575	
5	50.68245	50.97364	50.98483	51.36223	
4	53.67977	53.94017	53.95115	54.33016	
3	56.85545	57.05721	57.12335	57.36765	
5	60.1461	60.60488	0	60.94966	
3	62.82693	63.07248	63.17248	63.98438	
5	68.748	69.16095	0	69.5429	
1	71.66631	72.04619	72.13499	72.50224	
2	74.73163	75.18111	0	75.66097	
4	77.91776	78.59137	0	78.98652	
1	80.69439	81.08582	81.18671	81.60902	
5	83.5024	83.85077	0	84.19841	
4	86.71124	87.0023	87.06944	87.4137	
3	89.56608	89.94691	90.02635	90.3478	
2	94.65725	95.08242	0	95.4054	
2	98.22071	98.6151	0	98.97623	
5	105.0917	105.4948	105.5621	105.8836	
1	107.9508	108.4579	108.5806	108.9046	
2	111.5664	112.0908	0	112.5603	
3	114.3337	114.7809	0	115.2706	
3	118.127	118.7155	0	119.2546	
